Engine,Correctness,Infallibility,Difficulty Concordance of Correctness,Difficulty Concordance of Incorrectness,Prompt Stability of Correctness,Prompt Stability of Incorrectness
BLOOM-560m,0.011636267026630986,0.8701464315120921,0.5849674876403966,0.10051418153462102,0.9672684379611235,0.64292139018932
BLOOM-1b1,0.017360839010506644,0.857806323916666,0.5849832031430842,0.09632481473741643,0.9474820398161924,0.5983234666871011
BLOOM-1b7,0.026623658375209115,0.7507884335044481,0.5025119218635694,0.09204594771024718,0.9203588075666215,0.4900022216395318
BLOOM-3b,0.02815741078271992,0.8141082473029029,0.4908736330706146,0.09140215785252667,0.9192765651071136,0.5107737545832324
BLOOM-7b1,0.041965254067709776,0.7899185842686977,0.43464122089914514,0.08257086444998848,0.8786319828888098,0.43324620188645957
BLOOM-176b,0.07051225741201399,0.6919881356717037,0.339902075013212,0.0762301667733408,0.8054866688148727,0.32009291701087467
BLOOMz-560m,0.0635414948327468,0.4041158587719783,0.44662040706871053,0.07028613837254251,0.8997372187204095,0.3926589827148878
BLOOMz-1b1,0.0580236646995048,0.4134119946875904,0.4556681145914231,0.06618531945685648,0.8593492079035236,0.2861981184184615
BLOOMz-1b7,0.0908626064963178,0.499821908527695,0.41552060358619497,0.07071683896088299,0.8774586294454533,0.32453661240448295
BLOOMz-3b,0.12055943818230459,0.44489566340721476,0.38843991424494106,0.08249147552500923,0.8804141885851354,0.5125559511095286
BLOOMz-7b1,0.1366154001334048,0.46419263544200734,0.3640413570717146,0.07353424430229585,0.8945375950357869,0.43704688711938555
BLOOMz-176b,0.17086637174865998,0.46209422873059725,0.30728575580333556,0.07638066498336771,0.880065984101936,0.5160944924713023
